time unit,x,y,z
1784180954,0.01715,0.34306,0.0
1784180954,0.0142,0.31158,0.0
1784180954,0.01097,0.2732,0.0
1784180954,0.00652,0.21839,0.0
1784180954,0.00302,0.17804,0.0
1784180955,-0.00067,0.13803,0.0
1784180955,-0.00433,0.10061,0.0
1784180955,-0.00808,0.0609,0.0
1784180955,-0.00967,0.03967,0.0
1784180955,-0.01271,0.01318,0.0
1784180955,-0.01402,-0.00566,0.0
1784180955,-0.01503,-0.01728,0.0
1784180955,-0.01634,-0.0295,0.0
1784180955,-0.01712,-0.04096,0.0
1784180955,-0.01832,-0.05277,0.0
1784180956,-0.01888,-0.06278,0.0
1784180956,-0.02022,-0.0723,0.0
1784180956,-0.02086,-0.08059,0.0
1784180956,-0.02104,-0.08621,0.0
1784180956,-0.02158,-0.09148,0.0
1784180956,-0.02247,-0.09673,0.0
1784180956,-0.02293,-0.10087,0.0
1784180956,-0.02322,-0.10319,0.0
1784180956,-0.0231,-0.10412,0.0
1784180956,-0.02285,-0.10351,0.0
1784180957,-0.02267,-0.10277,0.0
1784180957,-0.0222,-0.10221,0.0
1784180957,-0.02216,-0.10227,0.0
1784180957,-0.02233,-0.10267,0.0
1784180957,-0.02239,-0.10304,0.0
1784180957,-0.02298,-0.10305,0.0
1784180957,-0.02478,-0.10363,0.0
1784180957,-0.02545,-0.10412,0.0
1784180957,-0.02563,-0.10446,0.0
1784180958,-0.02559,-0.10478,0.0
1784180958,-0.02421,-0.10634,0.0
1784180958,-0.02454,-0.10655,0.0
1784180958,-0.02589,-0.1063,0.0
1784180958,-0.0242,-0.10584,0.0
1784180958,-0.0221,-0.10594,0.0
1784180958,-0.02375,-0.10745,0.0
1784180958,-0.0244,-0.10765,0.0
1784180958,-0.02283,-0.1069,0.0
1784180958,-0.02089,-0.10727,0.0
1784180959,-0.02092,-0.1081,0.0
1784180959,-0.02196,-0.10916,0.0
1784180959,-0.02095,-0.10765,0.0
1784180959,-0.01857,-0.10636,0.0
1784180959,-0.01856,-0.10724,0.0
1784180959,-0.01968,-0.10787,0.0
1784180959,-0.0194,-0.10719,0.0
