time unit,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784180956,-0.03976,0.00231,-1.00789,0.0129,0.00456,-0.01162
1784180956,-0.0267,0.03992,-1.00157,0.00672,0.03358,-0.03544
1784180956,-0.0368,0.00749,-1.00447,0.00439,0.01566,0.00131
1784180956,-0.02019,0.00428,-1.00303,0.00502,0.00915,0.00981
1784180956,-0.01142,0.01059,-1.00459,0.00384,0.01384,0.00582
1784180956,-0.03474,0.01586,-1.00448,0.00348,0.01136,0.01035
1784180956,-0.02829,0.00757,-1.00467,0.00375,0.0054,-0.00053
1784180956,-0.02644,0.01093,-1.00361,0.00278,0.00545,0.00332
1784180956,-0.02355,0.01078,-1.00558,0.0039,0.00291,0.00266
1784180957,-0.0123,0.01016,-1.00422,0.00253,0.00031,0.00607
1784180957,-0.01275,0.01014,-1.00622,0.00096,0.00445,0.0079
1784180957,-0.01324,0.00943,-1.00474,0.0029,0.00344,0.00439
1784180957,-0.01166,0.00974,-1.00439,0.00392,0.0048,0.00207
1784180957,-0.0128,0.0105,-1.00471,0.00549,0.00422,0.00268
1784180957,-0.01324,0.01019,-1.00515,0.00419,0.00241,0.00238
1784180957,-0.11038,-0.25696,-1.00373,-0.00242,-0.01415,0.77066
1784180957,-0.01377,-0.00889,-0.99694,-0.01049,0.00125,0.61595
1784180957,-0.01344,0.01007,-1.01029,0.00208,-0.02471,0.69454
1784180957,-0.00346,-0.00442,-0.99982,-0.00036,-0.00154,0.74154
1784180958,0.01979,0.03954,-1.01389,0.01375,-0.02777,0.67667
1784180958,-0.01577,-0.00364,-1.00308,0.00291,-0.01887,0.8164
1784180958,-0.03314,-0.03656,-1.00704,-0.00424,-0.00707,0.80458
1784180958,-0.00473,0.05541,-1.01245,-0.00782,-0.00094,0.78751
1784180958,0.00783,0.00741,-1.00298,0.00026,-0.00695,0.82732
1784180958,-0.01121,-0.02611,-0.98687,0.03497,0.02884,0.70828
1784180958,0.00179,0.03104,-0.99114,0.0075,-0.02323,0.81024
1784180958,-0.00728,0.02537,-0.99685,0.00635,0.00265,0.76836
1784180958,-0.00343,0.02053,-1.0143,0.00236,-0.00736,0.78982
1784180958,-0.00242,-0.00289,-1.0015,-0.01318,-0.00684,0.83302
1784180959,-0.00766,0.01435,-1.00589,0.00793,8e-05,0.70912
1784180959,-0.00462,0.01615,-1.00583,-0.00079,-0.01649,0.85185
1784180959,0.01259,-0.02566,-0.99072,-0.03165,-0.00995,0.84364
1784180959,-0.02439,-0.03022,-1.00463,0.0215,-0.00554,0.75584
1784180959,0.00266,0.04133,-1.0188,0.00721,-0.03186,0.79241
1784180959,0.00032,0.02296,-1.00438,0.01991,0.00951,0.76986
1784180959,0.00112,0.04538,-0.9971,0.00943,-0.03941,0.69514
