time unit,yaw,pitch,roll
1784180956,-95.63,0.48,2.05
1784180957,-95.63,0.47,2.05
1784180957,-95.62,0.47,2.05
1784180957,-95.63,0.47,2.05
1784180957,-95.64,0.47,2.05
1784180957,-95.64,0.47,2.05
1784180957,-95.64,0.48,2.05
1784180957,-92.3,0.3,2.08
1784180957,-88.62,0.13,2.11
1784180957,-84.67,-0.05,2.11
1784180957,-80.37,-0.26,2.05
1784180958,-76.18,-0.46,2.05
1784180958,-69.64,-0.72,1.95
1784180958,-65.01,-0.92,1.88
1784180958,-60.61,-1.09,1.81
1784180958,-56.28,-1.25,1.79
1784180958,-51.71,-1.38,1.63
1784180958,-47.32,-1.58,1.56
1784180958,-42.67,-1.75,1.44
1784180958,-38.25,-1.85,1.22
1784180959,-33.97,-1.99,1.01
1784180959,-29.23,-2.12,0.88
1784180959,-24.87,-2.33,0.74
1784180959,-20.46,-2.5,0.55
1784180959,-15.86,-2.62,0.39
1784180959,-11.41,-2.7,0.27
1784180959,-7.09,-2.81,0.0
